ccn,location,latitude,longitude,block,offensekey,offensegroup,method,offense,sector,start_date,end_date,shift,year,neighborhood_cluster,psa,census_tract,ward,bid,district,ucr-rank,voting_precinct
25026034,"38.9068499677,-77.0434463238",38.90684997,-77.04344632,1220 - 1299 block of 19th street nw,property|theft/other,property,others,theft/other,2D3,17-02-2025,17-02-2025,evening,2025,cluster 6,208,10700,2,golden triangle,2,6,precinct 17
25021636,"38.9312267245,-77.013912434",38.93122672,-77.01391243,100 - 199 block of irving street nw,property|motor vehicle theft,property,others,motor vehicle theft,4D2,13-02-2025,13-02-2025,midnight,2025,cluster 21,405,2302,5,Unknown,4,8,precinct 44
25024231,"38.9114964109,-77.0365163644",38.91149641,-77.03651636,1600 - 1619 block of 16th street nw,property|theft/other,property,others,theft/other,3D3,18-02-2025,18-02-2025,midnight,2025,cluster 6,301,5302,2,Unknown,3,6,precinct 15
25010987,"38.8689186523,-76.9594761766",38.86891865,-76.95947618,3200 - 3299 block of pennsylvania avenue se,property|theft/other,property,others,theft/other,6D2,23-01-2025,24-01-2025,midnight,2025,cluster 34,605,9901,7,Unknown,6,6,precinct 109
25014527,"38.8296434693,-77.0005687013",38.82964347,-77.0005687,4100 - 4199 block of 4th street se,property|theft/other,property,others,theft/other,7D3,30-01-2025,30-01-2025,evening,2025,cluster 39,706,9802,8,Unknown,7,6,precinct 125
25016507,"38.9232884522,-77.0417577967",38.92328845,-77.0417578,1761 - 1780 block of columbia road nw,property|theft/other,property,others,theft/other,3D3,03-02-2025,03-02-2025,evening,2025,cluster 1,303,3901,1,adams morgan,3,6,precinct 35
25017540,"38.9672853762,-77.0218047016",38.96728538,-77.0218047,600 - 699 block of tuckerman street nw,violent|robbery,violent,others,robbery,4D1,05-02-2025,05-02-2025,evening,2025,cluster 17,402,1901,4,Unknown,4,4,precinct 59
25020280,"38.9514844265,-76.9939542871",38.95148443,-76.99395429,5026 - 5099 block of 8th street ne,property|theft/other,property,others,theft/other,4D2,10-02-2025,10-02-2025,midnight,2025,cluster 20,405,9509,5,Unknown,4,6,precinct 66
25420674,"38.9585406591,-77.0215713886",38.95854066,-77.02157139,521 - 699 block of madison street nw,property|theft/other,property,others,theft/other,4D1,13-02-2025,13-02-2025,day,2025,cluster 18,403,2101,4,Unknown,4,6,precinct 58
25008383,"38.9301765608,-77.0297088471",38.93017656,-77.02970885,3200 - 3299 block of 13th street nw,property|theft f/auto,property,others,theft f/auto,3D1,17-01-2025,18-01-2025,day,2025,cluster 2,302,3000,1,Unknown,3,7,precinct 39
25005966,"38.9054380874,-77.0323418139",38.90543809,-77.03234181,1 - 1 block of thomas circle nw,property|theft/other,property,others,theft/other,2D3,13-01-2025,13-01-2025,evening,2025,cluster 8,207,10100,2,downtown,2,6,precinct 17
25007778,"38.8809864129,-77.02576752",38.88098641,-77.02576752,900 - 1199 block of maine avenue sw,property|theft f/auto,property,others,theft f/auto,1D1,17-01-2025,17-01-2025,day,2025,cluster 9,103,10202,6,southwest,1,7,precinct 142
25009282,"38.9777852376,-77.0178265772",38.97778524,-77.01782658,7044 - 7089 block of eastern avenue nw,property|theft f/auto,property,others,theft f/auto,4D1,19-01-2025,20-01-2025,day,2025,cluster 17,401,1702,4,Unknown,4,7,precinct 63
25009391,"38.9071829657,-76.9983926928",38.90718297,-76.99839269,500 - 599 block of morse street ne,property|motor vehicle theft,property,others,motor vehicle theft,5D1,20-01-2025,20-01-2025,evening,2025,cluster 23,501,8803,5,Unknown,5,8,precinct 76
25024541,"38.8987906035,-76.932711419",38.8987906,-76.93271142,4800 - 4899 block of nannie helen burroughs avenue ne,property|theft/other,property,others,theft/other,6D1,19-02-2025,19-02-2025,evening,2025,cluster 31,602,7804,7,Unknown,6,6,precinct 98
25025047,"38.9215847053,-76.9937555941",38.92158471,-76.99375559,2300 - 2499 block of washington place ne,property|motor vehicle theft,property,others,motor vehicle theft,5D2,20-02-2025,20-02-2025,evening,2025,cluster 22,505,9102,5,Unknown,5,8,precinct 72
25024653,"38.8369449248,-76.981136952",38.83694492,-76.98113695,1300 - 1899 block of southern avenue se,property|motor vehicle theft,property,others,motor vehicle theft,7D3,19-02-2025,19-02-2025,evening,2025,cluster 38,706,7304,8,Unknown,7,8,precinct 121
25021003,"38.9177620976,-77.0229483166",38.9177621,-77.02294832,8th street nw and v street nw,property|theft f/auto,property,others,theft f/auto,3D2,12-02-2025,12-02-2025,evening,2025,cluster 3,305,3500,1,Unknown,3,7,precinct 37
25004747,"38.9002045619,-76.998974449",38.90020456,-76.99897445,500 - 599 block of h street ne,property|theft f/auto,property,others,theft f/auto,1D2,01-01-2025,01-01-2025,day,2025,cluster 25,104,10602,6,Unknown,1,7,precinct 83
25001279,"38.9420913659,-77.0178601007",38.94209137,-77.0178601,400 - 425 block of upshur street nw,property|theft f/auto,property,others,theft f/auto,4D2,03-01-2025,03-01-2025,day,2025,cluster 18,407,2301,4,Unknown,4,7,precinct 46
