latitude,block,offensegroup,location,sector,method,ccn,end_date,longitude,neighborhood_cluster,shift,psa,census_tract,ward,bid,district,year,report_dat,ucr-rank,offensekey,start_date,voting_precinct,offense
38.89961512,1516 - 1699 block of benning road ne,property,"38.8996151246,-76.9803866148",5D3,others,25019952,10-02-2025,-76.98038661,cluster 23,day,507.0,8904.0,5.0,Unknown,5.0,2025,"2/10/2025, 2:14:28 PM",6,property|theft/other,10-02-2025,precinct 79,theft/other
38.89920791,700 - 716 block of 21st street ne,property,"38.8992079083,-76.9741683731",5D3,others,25027076,24-02-2025,-76.97416837,cluster 23,evening,507.0,8904.0,5.0,Unknown,5.0,2025,"2/24/2025, 4:52:53 PM",8,property|motor vehicle theft,24-02-2025,precinct 79,motor vehicle theft
38.94877755,4800 - 4819 block of kansas avenue nw,property,"38.9487775468,-77.0208050917",4D2,others,25420426,30-01-2025,-77.02080509,cluster 18,evening,407.0,2201.0,4.0,Unknown,4.0,2025,"2/1/2025, 3:31:50 PM",6,property|theft/other,30-01-2025,precinct 55,theft/other
38.9072435,2100 - 2199 block of n street nw,property,"38.9072434956,-77.0477224591",2D3,others,25011228,24-01-2025,-77.04772246,cluster 5,day,208.0,5502.0,2.0,Unknown,2.0,2025,"1/24/2025, 2:08:22 PM",5,property|burglary,24-01-2025,precinct 14,burglary
38.96554303,6200 - 6299 block of georgia avenue nw,property,"38.9655430254,-77.0276542224",4D1,others,25021278,02-03-2025,-77.02765422,cluster 17,day,402.0,1804.0,4.0,Unknown,4.0,2025,"2/13/2025, 10:21:28 AM",6,property|theft/other,13-02-2025,precinct 60,theft/other
38.85106694,1800 - 1897 block of bruce place se,property,"38.851066942,-76.9786333173",7D2,others,25022501,15-02-2025,-76.97863332,cluster 38,evening,704.0,7404.0,8.0,Unknown,7.0,2025,"2/15/2025, 9:54:17 PM",8,property|motor vehicle theft,15-02-2025,precinct 117,motor vehicle theft
38.93060021,1326 - 1399 block of park road nw,property,"38.9306002081,-77.0318135912",3D1,others,25002913,07-01-2025,-77.03181359,cluster 2,day,302.0,2900.0,1.0,Unknown,3.0,2025,"1/7/2025, 10:08:39 AM",6,property|theft/other,07-01-2025,precinct 41,theft/other
38.90373897,100 - 199 block of l street nw,property,"38.903738973,-77.0131699214",1D1,others,25003006,05-01-2025,-77.01316992,cluster 8,day,102.0,4704.0,6.0,Unknown,1.0,2025,"1/7/2025, 2:27:49 PM",7,property|theft f/auto,04-01-2025,precinct 1,theft f/auto
38.97059904,6600 - 6699 block of 5th street nw,property,"38.9705990378,-77.0198952171",4D1,others,25004014,06-01-2025,-77.01989522,cluster 17,midnight,401.0,1702.0,4.0,Unknown,4.0,2025,"1/9/2025, 11:21:02 PM",6,property|theft/other,06-01-2025,precinct 63,theft/other
38.96554303,6200 - 6299 block of georgia avenue nw,property,"38.9655430254,-77.0276542224",4D1,others,25004855,10-01-2025,-77.02765422,cluster 17,day,402.0,1901.0,4.0,Unknown,4.0,2025,"1/11/2025, 2:38:11 PM",6,property|theft/other,10-01-2025,precinct 59,theft/other
38.9056424,1 - 99 block of m street ne,property,"38.9056424003,-77.007474088",5D1,others,25005074,12-01-2025,-77.00747409,cluster 25,midnight,501.0,10601.0,6.0,noma,5.0,2025,"1/12/2025, 12:11:59 AM",6,property|theft/other,11-01-2025,precinct 144,theft/other
38.92951689,3100 - 3299 block of 14th street nw,property,"38.9295168861,-77.0327298633",3D1,others,25017925,02-03-2025,-77.03272986,cluster 2,day,302.0,2802.0,1.0,Unknown,3.0,2025,"2/6/2025, 1:15:51 PM",6,property|theft/other,06-02-2025,precinct 39,theft/other
38.88508537,230 - 499 block of 37th street se,property,"38.885085368,-76.9527702205",6D3,others,25019460,09-02-2025,-76.95277022,cluster 32,evening,603.0,7703.0,7.0,Unknown,6.0,2025,"2/9/2025, 6:31:46 PM",8,property|motor vehicle theft,09-02-2025,precinct 107,motor vehicle theft
38.88706442,200 - 229 block of 16th street se,property,"38.8870644168,-76.9822160302",1D2,others,25024774,20-02-2025,-76.98221603,cluster 26,day,107.0,6801.0,7.0,Unknown,1.0,2025,"2/20/2025, 7:19:43 AM",8,property|motor vehicle theft,19-02-2025,precinct 87,motor vehicle theft
38.91825624,901 - 1098 block of brentwood road ne,property,"38.9182562402,-76.992579017",5D2,others,25026551,23-02-2025,-76.99257902,cluster 22,evening,505.0,9102.0,5.0,Unknown,5.0,2025,"2/23/2025, 5:31:12 PM",6,property|theft/other,23-02-2025,precinct 72,theft/other
38.9299847,3200 - 3299 block of 10th street ne,property,"38.9299847027,-76.9924501256",5D2,others,25008472,18-01-2025,-76.99245013,cluster 22,evening,504.0,9301.0,5.0,Unknown,5.0,2025,"1/18/2025, 4:54:04 PM",8,property|motor vehicle theft,18-01-2025,precinct 73,motor vehicle theft
